bathrooms,sqft_lot,grade,sqft_above,sqft_basement,yr_built,lat,long,caro
"0,75",15000,4,470,0,1947,"47,6554","-121,908",1
"2,25",21010,7,2020,0,1995,"47,6988","-121,915",0
"1,75",280962,9,1890,370,2005,"47,6359","-121,94",1
"3,5",52595,7,3610,0,1989,"47,6832","-121,907",0
"2,5",57934,7,2010,0,1978,"47,6262","-121,96",1
"2,5",16420,8,2560,0,1989,"47,6916","-121,916",0
"1,75",25157,7,1870,0,1978,"47,695","-121,915",1
"2,5",216493,9,2840,0,1991,"47,702","-121,892",0
1,7500,7,1160,0,1916,"47,6499","-121,916",1
1,5000,6,1260,0,1968,"47,6492","-121,915",1
1,43056,5,1010,0,1990,"47,7105","-121,316",0
"1,5",12500,6,1390,0,1976,"47,6496","-121,908",0
"1,75",13598,7,1620,520,1970,"47,7139","-121,321",0
"1,75",15003,7,1150,580,1980,"47,6923","-121,92",0
2,58488,9,2100,0,2005,"47,72","-121,402",0
1,7500,7,1370,0,1960,"47,6499","-121,915",1
"1,75",15001,7,1980,470,1989,"47,6957","-121,913",0
"1,75",19113,7,1500,0,1984,"47,6976","-121,916",1
1,18552,5,1340,0,1935,"47,7129","-121,325",0
"2,5",21876,8,1860,0,1992,"47,6455","-121,901",0
"2,5",21893,9,3150,0,2006,"47,6455","-121,901",0
"2,25",200811,7,2280,0,1978,"47,6522","-121,941",0
1,92782,6,1330,0,1950,"47,6624","-121,868",1
"2,5",70567,9,2210,0,1995,"47,6087","-121,895",1
"2,5",48716,9,1870,970,1994,"47,6832","-121,915",0
1,87991,5,960,0,1946,"47,63","-121,9",0
"2,5",129578,8,2100,1130,1964,"47,682","-121,913",0
"1,5",9600,6,1220,0,1980,"47,6462","-121,909",1
1,32010,6,1090,0,1958,"47,6928","-121,87",1
1,25000,6,1010,0,1966,"47,6927","-121,901",0
2,17180,7,2180,0,1977,"47,698","-121,92",0
1,3240,6,1140,0,1910,"47,7093","-121,364",0
"2,5",21883,8,2690,0,1994,"47,6462","-121,904",0
"2,5",13816,7,1650,0,1998,"47,6553","-121,913",0
"2,5",136343,10,3550,0,1977,"47,6223","-121,869",0
1,1164794,5,710,0,1915,"47,6888","-121,909",1
"1,75",501376,7,1930,0,1930,"47,6294","-121,911",1
"2,5",246114,9,2800,0,1999,"47,6586","-121,962",1
"1,75",23103,7,1800,0,1968,"47,6517","-121,906",0
2,14653,8,1880,0,1978,"47,6959","-121,921",0
"3,5",37982,8,3600,0,1996,"47,6982","-121,917",0
2,17071,7,1100,570,1988,"47,69","-121,913",0
"1,75",17550,7,2190,0,1989,"47,6984","-121,912",0
"1,75",15037,7,1950,0,1989,"47,6892","-121,913",0
2,31550,8,2100,0,2010,"47,6907","-121,917",0
