bedrooms;bathrooms;sqft_lot;floors;grade;sqft_above;sqft_basement;yr_built;lat;long;sqft_living15;sqft_lot15;caro
3;1.5;8000;1.5;7;0;0;2012;476.923;-121.869;1;0;1
3;1;19115;1;6;0;0;1986;47.656;-121.913;0;0;0
3;2;15000;1;9;0;0;2011;476.927;-121.92;0;0;1
3;2.5;147823;2;7;0;0;1999;476.811;-121.915;1;0;1
3;1.75;66250;1.5;7;0;0;2003;477.179;-121.403;0;0;0
3;1.75;23103;1;7;0;0;1968;476.517;-121.906;0;0;0
3;2.5;374616;2;7;0;0;1999;476.539;-121.959;0;1;1
3;2;16535;1;7;0;0;1992;476.565;-121.912;0;0;0
3;2.5;21876;2;8;0;0;1992;476.455;-121.901;1;0;0
4;2.5;156988;2;9;0;1070;1996;476.214;-121.946;1;0;0
3;2.25;219542;2;7;0;880;1981;476.367;-121.948;1;1;0
3;1.75;25157;2;7;0;0;1978;47.695;-121.915;0;0;1
3;2.5;48716;1;9;0;970;1994;476.832;-121.915;1;0;0
4;3;57499;1;9;0;1840;2003;476.469;-121.897;1;0;0
4;2;14653;2;8;0;0;1978;476.959;-121.921;0;0;0
2;1.75;280962;2;9;0;370;2005;476.359;-121.94;1;1;1
5;1.75;501376;2;7;0;0;1930;476.294;-121.911;0;1;1
3;1.75;15037;1;7;0;0;1989;476.892;-121.913;0;0;0
4;2.5;5000;2;8;0;0;2008;476.492;-121.908;0;0;0
3;1.75;15001;1;7;0;470;1989;476.957;-121.913;0;0;0
3;2.5;57934;1;7;1;0;1978;476.262;-121.96;1;0;1
3;2.25;21010;2;7;1;0;1995;476.988;-121.915;0;0;0
4;2.5;21781;2;8;1;0;1994;476.458;-121.904;1;0;0
4;2.5;21781;2;8;1;0;1994;476.458;-121.904;1;0;1
2;2;58488;2;9;1;0;2005;47.72;-121.402;0;0;0
3;2.5;129578;1;8;1;1130;1964;47.682;-121.913;1;0;0
3;2;31550;1;8;1;0;2010;476.907;-121.917;0;0;0
4;2.5;215186;2;7;1;0;1983;47.701;-121.857;1;1;0
3;2.75;31238;2;9;1;0;1996;476.596;-121.96;1;0;1
4;2;17180;2;7;1;0;1977;47.698;-121.92;0;0;0
3;1.75;17550;1;7;1;0;1989;476.984;-121.912;0;0;0
4;2.75;122403;1.5;7;1;0;1971;476.301;-121.911;0;0;1
3;2.5;70567;2;9;1;0;1995;476.087;-121.895;1;0;1
3;1.75;216493;1;8;1;0;1989;476.624;-121.951;1;1;1
3;2.25;200811;1;7;1;0;1978;476.522;-121.941;1;1;0
4;2.5;22445;2;8;1;0;1992;476.454;-121.902;1;0;0
3;2;209088;1;7;1;0;1993;476.527;-121.949;1;1;1
3;2;266151;1.5;7;1;0;1983;476.609;-121.892;1;1;0
3;1.75;266587;2;8;1;490;1995;476.991;-121.947;1;1;0
3;2.5;21937;2;8;1;0;1993;476.442;-121.898;1;0;0
2;3;982278;1;8;1;0;2004;476.955;-121.861;0;0;1
3;2.5;16420;2;8;1;0;1989;476.916;-121.916;1;0;0
3;2.75;64626;1.5;8;1;0;2009;477.185;-121.405;0;0;0
3;2.5;185130;2;9;1;0;1991;477.035;-121.894;1;1;0
4;2.5;32780;2;9;1;0;1998;476.612;-121.955;1;0;1
3;2.5;21883;2;8;1;0;1994;476.462;-121.904;1;0;0
3;1.75;149410;1.5;9;1;0;1988;477.092;-121.892;1;1;0
4;2.5;63118;2;9;1;0;1997;476.622;-121.961;1;0;1
4;2.5;246114;2;9;1;0;1999;476.586;-121.962;1;0;1
3;2.5;216493;2;9;1;0;1991;47.702;-121.892;1;1;0
3;2.75;207781;2;9;1;0;2000;47.662;-121.944;1;1;1
1;2;204732;2.5;8;1;0;1979;476.331;-121.945;1;1;0
4;2.5;60467;2;9;1;0;1996;476.618;-121.962;1;0;0
3;2.5;21893;2;9;1;0;2006;476.455;-121.901;1;0;0
3;3;60392;2;9;1;940;1994;476.804;-121.913;1;0;0
3;2.5;218235;1;8;1;0;1989;476.601;-121.946;1;1;0
3;3.25;25741;2;8;1;0;1993;476.929;-121.868;0;0;0
4;3.25;159430;2;9;1;0;2007;476.285;-121.899;1;1;1
3;2.5;136343;2;10;1;0;1977;476.223;-121.869;1;1;0
