price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;lat;long;sqft_living15;sqft_lot15;price_sqft;caro
590000;3;2.5;3360;218235;1;0;3;8;3360;0;1989;0;476.601;-121.946;2650;220849;175.5952381;0
375000;3;1.75;1370;19550;1;0;3;7;1370;0;1978;2006;477.002;-121.912;1430;17550;273.7226277;1
935000;3;3.25;3710;38509;2;0;3;10;3710;0;1998;0;47.693;-121.868;1680;25865;252.0215633;1
252500;2;1;900;7500;1;0;4;6;900;0;1961;0;476.481;-121.916;1190;10000;280.5555556;1
406500;3;2.75;1840;68479;1;2;3;8;1340;500;1989;0;476.802;-121.908;2060;61903;220.923913;0
150000;3;0.75;490;38500;1.5;0;4;5;490;0;1959;0;477.112;-121.315;800;18297;306.122449;1
790000;2;3;2560;982278;1;0;3;8;2560;0;2004;0;476.955;-121.861;1620;40946;308.59375;1
425000;5;1.75;1400;5071;1;0;3;5;1400;0;1916;0;476.499;-121.908;1200;7500;303.5714286;1
585000;3;1.75;2220;216493;1;2;3;8;2220;0;1989;0;476.624;-121.951;2900;169884;263.5135135;1
641000;4;2.5;2770;63118;2;0;3;9;2770;0;1997;0;476.622;-121.961;2770;44224;231.4079422;1
154000;2;1;1040;20524;1;3;3;6;1040;0;1949;1989;476.981;-121.875;1880;38996;148.0769231;0
620000;4;2.5;2690;32780;2;0;3;9;2690;0;1998;0;476.612;-121.955;2840;36555;230.4832714;1
299800;4;1.5;1530;9000;1;0;4;6;1530;0;1976;0;476.492;-121.908;1520;8500;195.9477124;0
272000;3;2.5;1650;13816;2;0;3;7;1650;0;1998;0;476.553;-121.912;1650;15144;164.8484848;0
840000;4;3.5;3840;85728;2;0;3;11;3840;0;1998;0;47.615;-121.954;2430;42643;218.75;0
150000;3;1;890;6488;1.5;0;3;5;890;0;1928;0;477.087;-121.352;1330;16250;168.5393258;0
560000;3;3;4120;60392;2;2;3;9;3180;940;1994;0;476.804;-121.913;2770;64033;135.9223301;0
755000;3;2.5;3680;203860;1.5;0;3;9;3680;0;1994;0;476.903;-121.929;2410;144183;205.1630435;0
280000;3;1.75;2080;87991;1;0;3;6;1040;1040;1970;0;476.724;-121.865;2080;84300;134.6153846;0
430000;3;2.75;2600;12860;1;0;3;7;1350;1250;1965;0;47.695;-121.918;2260;12954;165.3846154;0
265000;3;2;1850;16535;1;0;3;7;1850;0;1992;0;476.565;-121.912;1528;13295;143.2432432;0
309000;3;2.5;1450;11480;2;0;3;7;1450;0;1990;0;47.672;-121.864;2080;87991;213.1034483;0
650000;4;3;3720;57499;1;0;3;9;1880;1840;2003;0;476.469;-121.897;2560;26372;174.7311828;0
330000;3;2.5;1676;18778;2;0;3;7;1676;0;1997;0;476.521;-121.905;1410;18778;196.8973747;0
345000;3;2;1610;15005;1;0;4;7;1610;0;1986;0;476.886;-121.911;1610;15479;214.2857143;0
365000;2;1;960;223898;1;0;3;6;960;0;1985;0;476.668;-121.892;1830;230868;380.2083333;1
535000;3;1.75;2720;149410;1.5;0;3;9;2720;0;1988;0;477.092;-121.892;2560;149410;196.6911765;0
522500;4;2.75;2200;122403;1.5;0;3;7;2200;0;1971;0;476.301;-121.911;1710;74487;237.5;1
720000;3;3.25;3410;25741;2;0;4;8;3410;0;1993;0;476.929;-121.868;1660;25865;211.143695;0
305000;3;1;1710;19115;1;0;3;6;1710;0;1986;0;47.656;-121.913;1650;15144;178.3625731;0
500000;3;1.75;1640;47044;1;0;3;7;1640;0;1989;0;47.654;-121.94;2280;200811;304.8780488;1
475000;3;2.5;2630;185130;2;0;3;9;2630;0;1991;0;477.035;-121.894;2630;210394;180.608365;0
498000;4;2.5;2300;22445;2;0;4;8;2300;0;1992;0;476.454;-121.902;2640;21886;216.5217391;0
549950;3;1.75;2930;266587;2;0;3;8;2440;490;1995;0;476.991;-121.947;2700;438213;187.6962457;0
539000;3;2;2350;209088;1;0;3;7;2350;0;1993;0;476.527;-121.949;2300;209088;229.3617021;1
230950;2;1;930;12724;1;0;4;6;930;0;1912;0;476.567;-121.909;1240;21828;248.3333333;1
1.68E+06;4;4.25;5584;68257;2;0;3;11;5584;0;1998;0;476.113;-121.952;5030;101901;300.8595989;1
490000;4;2.5;2430;42646;1;0;3;7;1450;980;1989;0;476.164;-121.953;2000;38159;201.6460905;0
937500;4;4;5545;871200;2;0;3;11;3605;1940;2003;0;47.676;-121.882;3420;871200;169.0712353;0
340000;3;2;1570;14992;1;0;3;8;1570;0;2001;0;476.965;-121.922;1640;15000;216.5605096;0
435000;3;2.5;1778;147823;2;0;3;7;1778;0;1999;0;476.811;-121.915;2840;43676;244.6569179;1
200000;2;1.75;1320;13052;1.5;0;3;7;1320;0;1980;0;47.712;-121.352;1320;13052;151.5151515;0
340000;4;1.75;1680;15084;1;0;4;7;840;840;1979;0;476.895;-121.912;1800;15092;202.3809524;0
396400;4;2.5;2120;215186;2;0;2;7;2120;0;1983;0;47.701;-121.857;2000;215186;186.9811321;0
510000;3;2;2350;266151;1.5;0;3;7;2350;0;1983;0;476.609;-121.892;2270;222156;217.0212766;0
241000;2;1.75;1070;9750;1.5;0;3;7;1070;0;1995;0;477.131;-121.319;970;9750;225.2336449;1
1.61E+06;5;4.5;6085;142725;3;0;3;11;6085;0;2000;0;476.085;-121.952;4830;128457;264.5850452;1
443500;4;2.5;2040;21781;2;0;3;8;2040;0;1994;0;476.458;-121.904;2410;21781;217.4019608;0
471000;4;2.5;2040;21781;2;0;3;8;2040;0;1994;0;476.458;-121.904;2410;21781;230.8823529;1
240000;3;1;1090;10000;1;0;3;6;1090;0;1961;0;476.503;-121.911;1040;7500;220.1834862;0
510000;3;2.25;2750;219542;2;0;3;7;1870;880;1981;0;476.367;-121.948;2430;219542;185.4545455;0
315000;3;1.75;1410;15134;1;0;3;7;1410;0;1980;0;476.931;-121.921;1770;15337;223.4042553;1
805000;3;3;3910;19023;2;0;3;11;3910;0;1985;0;476.953;-121.914;1860;15001;205.8823529;0
156000;1;0.75;470;15000;1;0;3;4;470;0;1947;0;476.554;-121.908;1730;22500;331.9148936;1
420000;3;2.25;2020;21010;2;0;3;7;2020;0;1995;0;476.988;-121.915;1850;18151;207.9207921;0
649000;2;1.75;2260;280962;2;2;3;9;1890;370;2005;0;476.359;-121.94;2860;219542;287.1681416;1
587000;5;3.5;3610;52595;2;0;4;7;3610;0;1989;0;476.832;-121.907;1620;60112;162.6038781;0
495500;3;2.5;2010;57934;1;0;3;7;2010;0;1978;0;476.262;-121.96;2040;55527;246.5174129;1
470950;3;2.5;2560;16420;2;0;4;8;2560;0;1989;0;476.916;-121.916;2120;16298;183.9648438;0
475000;3;1.75;1870;25157;2;0;3;7;1870;0;1978;0;47.695;-121.915;1870;15391;254.0106952;1
560000;3;2.5;2840;216493;2;0;3;9;2840;0;1991;0;47.702;-121.892;2820;175111;197.1830986;0
312000;2;1;1160;7500;1.5;0;4;7;1160;0;1916;0;476.499;-121.916;1110;7500;268.9655172;1
300000;3;1;1260;5000;1;0;4;6;1260;0;1968;0;476.492;-121.915;1180;7500;238.0952381;1
155000;2;1;1010;43056;1.5;0;3;5;1010;0;1990;0;477.105;-121.316;830;18297;153.4653465;0
225000;3;1.5;1390;12500;1;0;4;6;1390;0;1976;0;476.496;-121.908;1390;9000;161.8705036;0
375000;3;1.75;2140;13598;1.5;0;4;7;1620;520;1970;0;477.139;-121.321;930;10150;175.2336449;0
335000;3;1.75;1730;15003;1;0;3;7;1150;580;1980;0;476.923;-121.92;1900;15483;193.6416185;0
370000;2;2;2100;58488;2;0;3;9;2100;0;2005;0;47.72;-121.402;1440;59346;176.1904762;0
307000;3;1;1370;7500;1;0;3;7;1370;0;1960;0;476.499;-121.915;1160;7500;224.0875912;1
399950;3;1.75;2450;15001;1;0;3;7;1980;470;1989;0;476.957;-121.913;1790;15323;163.244898;0
418000;3;1.75;1500;19113;1;0;3;7;1500;0;1984;0;476.976;-121.916;1820;18151;278.6666667;1
160000;3;1;1340;18552;1.5;0;4;5;1340;0;1935;0;477.129;-121.325;960;15141;119.4029851;0
350000;3;2.5;1860;21876;2;0;3;8;1860;0;1992;0;476.455;-121.901;2450;21876;188.172043;0
530000;3;2.5;3150;21893;2;0;3;9;3150;0;2006;0;476.455;-121.901;2280;21886;168.2539683;0
410000;3;2.25;2280;200811;1;0;3;7;2280;0;1978;0;476.522;-121.941;2280;206038;179.8245614;0
455000;2;1;1330;92782;1;0;2;6;1330;0;1950;0;476.624;-121.868;1280;168141;342.1052632;1
509950;3;2.5;2210;70567;2;3;3;9;2210;0;1995;0;476.087;-121.895;2000;73616;230.7466063;1
500000;3;2.5;2840;48716;1;3;3;9;1870;970;1994;0;476.832;-121.915;2710;43676;176.056338;0
180000;2;1;960;87991;1.5;0;3;5;960;0;1946;0;47.63;-121.9;1940;392040;187.5;0
499950;3;2.5;3230;129578;1;0;4;8;2100;1130;1964;0;47.682;-121.913;2760;62059;154.7832817;0
310000;4;1.5;1220;9600;1;0;3;6;1220;0;1980;0;476.462;-121.909;1180;9000;254.0983607;1
598800;1;1;1090;32010;1;0;4;6;1090;0;1958;0;476.928;-121.87;1870;25346;549.3577982;1
150000;3;1;1010;25000;1;0;3;6;1010;0;1966;0;476.927;-121.901;2020;101494;148.5148515;0
470000;4;2;2180;17180;2;0;4;7;2180;0;1977;0;47.698;-121.92;1880;14043;215.5963303;0
160000;3;1;1140;3240;1.5;0;4;6;1140;0;1910;0;477.093;-121.364;1140;4700;140.3508772;0
445000;3;2.5;2690;21883;2;0;3;8;2690;0;1994;0;476.462;-121.904;2370;21781;165.4275093;0
334999;3;2.5;1650;13816;2;0;3;7;1650;0;1998;0;476.553;-121.913;1630;18750;203.029697;0
545000;3;2.5;3550;136343;2;0;3;10;3550;0;1977;0;476.223;-121.869;3080;215186;153.5211268;0
190000;2;1;710;1164794;1;0;2;5;710;0;1915;0;476.888;-121.909;1680;16730;267.6056338;1
800000;5;1.75;1930;501376;2;0;3;7;1930;0;1930;0;476.294;-121.911;1710;87120;414.507772;1
739000;4;2.5;2800;246114;2;0;3;9;2800;0;1999;0;476.586;-121.962;2750;60351;263.9285714;1
284000;3;1.75;1800;23103;1;0;3;7;1800;0;1968;0;476.517;-121.906;1410;18163;157.7777778;0
407193;4;2;1880;14653;2;0;3;8;1880;0;1978;0;476.959;-121.921;1750;14858;216.5920213;0
660000;3;3.5;3600;37982;2;0;4;8;3600;0;1996;0;476.982;-121.917;2050;18019;183.3333333;0
325000;3;2;1670;17071;1;0;3;7;1100;570;1988;0;47.69;-121.913;1660;15593;194.6107784;0
375000;3;1.75;2190;17550;1;0;3;7;2190;0;1989;0;476.984;-121.912;1700;17550;171.2328767;0
323000;3;1.75;1950;15037;1;0;3;7;1950;0;1989;0;476.892;-121.913;1760;15181;165.6410256;0
399000;3;2;2100;31550;1;0;3;8;2100;0;2010;0;476.907;-121.917;1860;18452;190;0
155000;3;1;1300;6098;1;0;3;7;1300;0;2013;0;477.074;-121.364;1300;6849;119.2307692;0
415000;3;2.75;2600;64626;1.5;0;3;8;2600;0;2009;0;477.185;-121.405;1740;64626;159.6153846;0
785000;3;2.75;2990;207781;2;0;3;9;2990;0;2000;0;47.662;-121.944;2590;218671;262.541806;1
1.60E+06;4;5.5;6530;871200;2;2;3;11;6530;0;2008;0;47.664;-121.878;1280;858132;245.0229709;1
441000;3;2;1720;15000;1;0;3;9;1720;0;2011;0;476.927;-121.92;1900;15337;256.3953488;1
580000;3;2.5;1820;374616;2;0;3;7;1820;0;1999;0;476.539;-121.959;1870;220654;318.6813187;1
310000;2;1.75;1160;2500;2;0;3;7;1160;0;2008;0;476.489;-121.911;970;7500;267.2413793;1
425000;3;1.5;1680;8000;1.5;0;3;7;1680;0;2012;0;476.923;-121.869;1990;26336;252.9761905;1
320000;3;1.75;1790;66250;1.5;0;3;7;1790;0;2003;0;477.179;-121.403;1440;59346;178.7709497;0
800000;4;3.25;3540;159430;2;0;3;9;3540;0;2007;0;476.285;-121.899;1940;392040;225.9887006;1
